Order Number,Date of Order,,,Lineitem name,Accepts Marketing,Cancelled at,Currency,Discount Amount,Discount Code,Financial Status,Fulfilled at,Fulfillment Status,Lineitem discount,Lineitem fulfillment status,Lineitem price,Order Quantity,Lineitem quantity,Lineitem requires shipping,Lineitem taxable,Outstanding Balance,Paid at,Payment Method,Payment Reference,Refunded Amount,Risk Level,Shipping,Shipping Country,Shipping Method,Source,Subtotal,Taxes,Total,Vendor
R-1001,14/09/2015,13:39:22,300,Kiwi Silk Top - Green / M,No,2015-11-05 14:15:26 +0300,USD,0,0,pending,0,unfulfilled,0,pending,100,1,1,0,0,100,0,Cash on Delivery (COD),0,0,Low,0,0,0,web,100,0,100,Rush & Reez
R-1002,19/01/2016,13:43:51,300,Oversized Quilted Sweater Dress-Emerald - One Size,no,2016-01-19 14:02:08 +0300,USD,0,0,pending,0,unfulfilled,0,pending,60,1,1,1,0,65,0,custom,0,0,Low,5,AE,UPS International Shipping,web,60,0,65,Rush & Reez
R-1003,30/01/2016,1:27:30,300,Quilted Cardigan - Emerald / One Size,0,0,0,0,0,0,0,0,0,pending,90,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Quilted Sweater Dress with Silk Detail - Black / M,no,2016-02-12 15:59:24 +0300,USD,0,0,pending,0,unfulfilled,0,pending,110,,1,1,0,200,0,custom,0,0,Low,0,LB,Free Shipping,web,200,0,200,Rush & Reez
R-1004,31/01/2016,2:36:17,300,Jade Bicolor  Scarf,no,2016-02-12 15:58:38 +0300,USD,0,0,pending,0,unfulfilled,0,pending,60,1,1,1,0,60,0,custom,0,0,Low,0,LB,Free Shipping,web,60,0,60,Rush & Reez
R-1005,09/02/2016,12:50:27,300,Joe Military Shirt Dress - Military / S,no,0,USD,0,0,paid,2016-02-12 12:52:04 +0300,fulfilled,0,fulfilled,70,1,1,1,0,0,2016-02-09 12:50:28 +0300,2Checkout,c5780303044.1,0,Low,0,LB,Free Shipping,web,70,0,70,Rush & Reez
R-1006,29/02/2016,10:24:33,300,Diana Sweat Pants - S / Pink,0,0,0,0,0,0,0,0,0,pending,40,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Oversized Diana Sweater Dress - L / White,no,2016-02-29 14:04:17 +0300,USD,0,0,pending,0,unfulfilled,0,pending,70,,1,1,0,110,0,custom,0,0,Low,0,LB,Free Shipping,web,110,0,110,Rush & Reez
R-1007,14/04/2016,16:09:30,300,Wide Pants - Black / M,no,2016-04-15 12:02:14 +0300,USD,0,0,pending,0,unfulfilled,0,pending,50,1,1,1,0,50,0,custom,0,0,Low,0,LB,Free Shipping,web,50,0,50,Rush & Reez
R-S-1008,06/05/2016,1:02:03,300,Mia Sweater Dress - L / White,0,0,0,0,0,0,0,0,0,fulfilled,45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Mia Track Suit - L / Navy,no,0,USD,0,0,paid,2016-05-09 10:35:07 +0300,fulfilled,0,fulfilled,110,,1,1,0,0,2016-05-06 01:02:03 +0300,2Checkout,c7078717508.1,0,Low,15,US,Aramex International Shipping,web,155,0,170,Rush & Reez
R-S-1009,02/06/2016,14:21:28,300,Wide Pants - Military / M,no,2016-06-03 10:33:57 +0300,USD,0,0,pending,0,unfulfilled,0,pending,50,1,1,1,0,50,0,custom,0,0,Low,0,LB,Free Shipping,web,50,0,50,Rush & Reez
R-S-1010,15/08/2016,22:49:24,300,Sally Skirt - Multi / S,no,0,USD,0,0,paid,2016-08-16 14:08:23 +0300,fulfilled,0,fulfilled,200,1,1,1,0,0,2016-08-15 22:49:25 +0300,2Checkout,c10008014340.1,0,Low,15,US,Aramex International Shipping,web,200,0,215,Rush & Reez
R-S-1011,29/08/2016,13:40:47,300,Citron Wide Pants - M,no,2016-08-30 13:33:00 +0300,USD,0,0,pending,0,unfulfilled,0,pending,50,1,1,1,1,50,0,custom,0,0,Low,0,LB,Free Shipping,web,50,0,50,Rush & Reez
R-S-1012,23/10/2016,15:46:47,300,Mia White Sweater Dress - M / White,0,0,0,0,0,0,0,0,0,pending,38,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Oversized Quilted Sweater Dress-Emerald - One Size,no,2016-10-24 14:26:08 +0300,USD,0,0,pending,0,unfulfilled,0,pending,60,,1,1,0,98,0,custom,0,0,Low,0,LB,Free Shipping,web,98,0,98,Rush & Reez
R-S-1013,29/12/2016,11:22:53,300,Lightweight Military Bomber Jacket - S,no,2017-01-16 15:39:35 +0300,USD,0,0,pending,0,unfulfilled,0,pending,100,2,1,1,1,300,0,custom,0,0,Low,0,LB,Free Shipping,web,300,0,300,Rush & Reez
,,,,Pink Bomber Ensemble - S,0,0,0,0,0,0,0,0,0,pending,200,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
R-S-1014,05/01/2017,22:15:07,300,Black Maxi Knitted Dress,no,2017-01-16 15:38:54 +0300,USD,0,0,pending,0,unfulfilled,0,pending,80,3,1,1,1,240,0,custom,0,0,Low,0,LB,Free Shipping,web,240,0,240,Rush & Reez
,,,,Burgundy Maxi Knitted Dress,0,0,0,0,0,0,0,0,0,pending,80,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Emerald Maxi Knitted Dress,0,0,0,0,0,0,0,0,0,pending,80,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
R-S-1015,25/01/2017,12:03:42,300,Jade Bicolor  Scarf,no,0,USD,0,0,paid,2017-01-31 13:14:37 +0300,fulfilled,0,fulfilled,60,2,1,0,0,0,2017-01-25 12:03:42 +0300,2Checkout,c14619040975.1,0,Low,15,FR,Aramex International Shipping,web,120,0,135,Rush & Reez
,,,,Oversized Quilted Sweater Dress-Emerald - One Size,0,0,0,0,0,0,0,0,0,fulfilled,60,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
R-S-1016,25/01/2017,19:56:27,300,Emerald Maxi Knitted Dress,no,0,USD,0,0,paid,2017-02-01 11:12:42 +0300,fulfilled,0,fulfilled,80,1,1,1,1,0,2017-01-25 19:56:27 +0300,2Checkout,c14637064463.1,0,Low,10,GB,Aramex International Shipping,web,80,0,90,Rush & Reez
R-S-1017,14/02/2017,22:10:48,300,Grey Waistcoat,no,2017-02-15 12:21:40 +0300,USD,0,0,pending,0,unfulfilled,0,pending,130,1,1,1,0,130,0,custom,0,0,Low,0,LB,Free Shipping,web,130,0,130,Rush & Reez
R-S-1018,20/02/2017,14:11:01,300,Grey Sweat Suit - L,no,2017-02-20 14:32:43 +0300,USD,0,0,pending,0,unfulfilled,0,pending,80,1,1,1,1,80,0,custom,0,0,Low,0,LB,Free Shipping,web,80,0,80,Rush & Reez
R-S-1019,17/03/2017,0:17:25,300,Nadia Black and White Abaya - Black / One Size,no,2017-03-17 13:39:31 +0300,USD,0,0,paid,0,unfulfilled,0,pending,200,1,1,1,0,0,2017-03-17 00:17:25 +0300,2Checkout,c14908743183.1,0,Low,25,US,Aramex International Shipping 2,web,200,0,225,Rush & Reez
R-S-1020,01/04/2017,22:23:11,300,Burgundy Maxi Knitted Dress,no,2017-04-04 12:38:16 +0300,USD,0,0,pending,0,unfulfilled,0,pending,80,1,1,1,1,90,0,custom,0,0,Low,10,AE,UPS International Shipping,web,80,0,90,Rush & Reez
R-S-1021,15/05/2017,12:37:59,300,Oversized Blackberry Shirtdress - OS,0,0,0,0,0,0,0,0,0,fulfilled,80,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Pink Pique Tunic - M,0,0,0,0,0,0,0,0,0,fulfilled,45,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Red Milly Top - Red / M,no,0,USD,0,0,paid,2017-06-01 00:50:32 +0300,fulfilled,0,fulfilled,70,,1,1,0,0,2017-05-15 12:37:59 +0300,2Checkout,c15312713871.1,0,Low,25,FR,Aramex International Shipping,web,195,0,220,Rush & Reez
R-S-1022,20/05/2017,20:58:29,300,Pink May Ribbon Tunic - M,no,2017-06-01 22:32:11 +0300,USD,0,0,pending,0,unfulfilled,0,pending,70,1,1,1,0,75,0,custom,0,0,Low,5,AE,UPS International Shipping,web,70,0,75,Rush & Reez
R-S-1023,21/05/2017,12:32:12,300,Overized Nude Shirtdress - M,no,2017-05-31 01:32:29 +0300,USD,0,0,pending,0,unfulfilled,0,pending,85,1,1,1,1,85,0,custom,0,0,Low,0,LB,Free Shipping,web,85,0,85,Rush & Reez
R-S-1024,22/05/2017,16:54:34,300,Black Skirt Pants - Black / M,0,0,0,0,0,0,0,0,0,pending,80,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
