Order ID,Sale ID,Date,,,Order,Transaction type,Sale type,Sales channel,POS location,Billing country,Billing region,Billing city,Shipping country,Shipping region,Shipping city,Product type,Product vendor,Product,Variant,Variant SKU,Net quantity,Gross sales,Discounts,Returns,Net sales,Shipping,Taxes,Total sales
6.2463E+11,2.11016E+12,04/11/2018,21:17:42,2:00,R-S-1210,product,order,Draft Orders,,Lebanon,,Dohet El Hoss,Lebanon,,Dohet El Hoss,pants,Rush & Reez,Grey Sweat Pants,M,,1,15,0,0,15,0,0,15
6.2463E+11,2.11016E+12,04/11/2018,21:17:42,2:00,R-S-1210,product,order,Draft Orders,,Lebanon,,Dohet El Hoss,Lebanon,,Dohet El Hoss,Top,RUSH & REEZ,Dust Pink Phantom Co-ord,One Size,,1,80,0,0,80,0,0,80
6.2463E+11,2.11016E+12,04/11/2018,21:17:42,2:00,R-S-1210,shipping,order,Draft Orders,,Lebanon,,Dohet El Hoss,Lebanon,,Dohet El Hoss,,,,,,0,0,0,0,0,3,0,3
6.2464E+11,2.11019E+12,04/11/2018,21:30:42,2:00,R-S-1211,product,order,Draft Orders,,Lebanon,,Beirut,Lebanon,,Beirut,Jacket,Rush & Reez,Pleated Pink & Silver Ensemble,S,,1,100,0,0,100,0,0,100
6.2464E+11,2.11019E+12,04/11/2018,21:30:42,2:00,R-S-1211,shipping,order,Draft Orders,,Lebanon,,Beirut,Lebanon,,Beirut,,,,,,0,0,0,0,0,3,0,3
6.25722E+11,2.11386E+12,05/11/2018,22:54:58,2:00,R-S-1212,product,order,Draft Orders,,Lebanon,,Dohet El Hoss,Lebanon,,Dohet El Hoss,Pants,Rush & Reez,Diana Sweat Pants,M / Pink,,1,25,0,0,25,0,0,25
6.31984E+11,2.13123E+12,12/11/2018,18:26:23,2:00,R-S-1213,product,order,Online Store,,United States,New York,Yonkers,United States,New York,Yonkers,top,RUSH & REEZ,White Shirtdress with Pink Velour,L,,1,50,0,0,50,0,0,50
6.31984E+11,2.13123E+12,12/11/2018,18:26:23,2:00,R-S-1213,product,order,Online Store,,United States,New York,Yonkers,United States,New York,Yonkers,Dress,RUSH & REEZ,White Sweatdress with Green Pearls,L,,1,60,0,0,60,0,0,60
6.31984E+11,2.13123E+12,12/11/2018,18:26:23,2:00,R-S-1213,product,order,Online Store,,United States,New York,Yonkers,United States,New York,Yonkers,pants,RUSH & REEZ,Pastel Blue Velour Pants,M,,1,65,0,0,65,0,0,65
6.31984E+11,2.13123E+12,12/11/2018,18:26:23,2:00,R-S-1213,product,order,Online Store,,United States,New York,Yonkers,United States,New York,Yonkers,pants,RUSH & REEZ,Pastel Pink Velour Pants,L,,1,65,0,0,65,0,0,65
